TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Angina/angina pectoris,,,Cardiovascular diseases,60,Total,0,Total,1,1,18 years and older,1,1,,,"Percent of population, crude",1,2019,,1.7,,1.5,1.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Total,0,Total,1,1,18 years and older,1,1,,,"Percent of population, crude",1,2020,,1.5,,1.3,1.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Total,0,Total,1,1,18 years and older,1,1,,,"Percent of population, crude",1,2021,,1.5,,1.4,1.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Total,0,Total,1,1,18 years and older,1,1,,,"Percent of population, crude",1,2022,,1.6,,1.5,1.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Total,0,Total,1,1,18 years and older,1,1,,,"Percent of population, crude",1,2023,,1.6,,1.4,1.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Total,0,Total,1,1,18 years and older,1,1,,,"Percent of population, crude",1,2024,,1.6,,1.4,1.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2019,,0.2,,0.1,0.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2020,,0.3,,0.1,0.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2021,,0.4,,0.2,0.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2022,,0.2,,0.1,0.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2023,,0.3,,0.1,0.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2024,,0.3,,0.2,0.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2019,,0.9,,0.6,1.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2020,,0.5,,0.3,0.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2021,,0.6,,0.4,0.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
